Stress Level,Mood Rating,Sleep Quality,Energy Level,Work Hours Per Day,Job Satisfaction,Workload Intensity,Break Frequency,Overtime Frequency,Role Clarity,Autonomy in Work
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Low Balance,None,Very Clear,High
High,Positive,Poor,Low,Extended,Dissatisfied,High,Moderately Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Average,Low,Normal,Dissatisfied,Moderate,Low Balance,Occasional,Clear,Moderate
Low,Positive,Good,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Low Balance,None,Very Clear,High
High,Positive,Poor,Low,Extended,Dissatisfied,High,Moderately Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Average,Low,Normal,Dissatisfied,Moderate,Low Balance,Occasional,Clear,Moderate
Low,Positive,Good,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Low Balance,None,Very Clear,High
High,Positive,Poor,Low,Extended,Dissatisfied,High,Moderately Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Average,Low,Normal,Dissatisfied,Moderate,Low Balance,Occasional,Clear,Moderate
Low,Positive,Good,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Low Balance,None,Very Clear,High
High,Positive,Poor,Low,Extended,Dissatisfied,High,Moderately Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Average,Low,Normal,Dissatisfied,Moderate,Low Balance,Occasional,Clear,Moderate
Low,Positive,Good,High,Normal,Neutral,Low,Balanced,Occasional,Very Clear,High
Moderate,Negative,Poor,Low,Extended,Dissatisfied,High,Low Balance,Frequent,Somewhat Clear,Low
High,Positive,Average,Moderate,Overworking,Neutral,Moderate,Balanced,Frequent,Clear,Moderate
Low,Negative,Poor,Low,Normal,Dissatisfied,Low,Low Balance,Occasional,Very Clear,High
Moderate,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
High,Negative,Poor,Low,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Clear,Moderate
Low,Positive,Average,Moderate,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Poor,Low,Extended,Dissatisfied,High,Low Balance,Frequent,Somewhat Clear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Clear,Moderate
Low,Positive,Average,Moderate,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Poor,Low,Extended,Dissatisfied,High,Low Balance,Frequent,Somewhat Clear,Low
Low,Positive,Good,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Clear,Moderate
Moderate,Positive,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Very Clear,High
Low,Negative,Poor,Low,Normal,Dissatisfied,Low,Low Balance,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Low,Positive,Average,Moderate,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Poor,Low,Extended,Dissatisfied,High,Low Balance,Frequent,Somewhat Clear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Clear,Moderate
Moderate,Positive,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Very Clear,High
Low,Negative,Poor,Low,Normal,Dissatisfied,Low,Low Balance,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Dissatisfied,High,Low Balance,Occasional,Unclear,Moderate
Low,Positive,Average,Moderate,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Somewhat Clear,Low
Moderate,Positive,Good,Moderate,Normal,Neutral,Low,Balanced,Occasional,Clear,High
Low,Negative,Poor,Low,Normal,Dissatisfied,Low,Low Balance,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Positive,Poor,Low,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Clear,Moderate
Moderate,Positive,Good,Moderate,Normal,Neutral,Low,Balanced,Occasional,Clear,High
Low,Negative,Poor,Low,Normal,Dissatisfied,Low,Low Balance,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Positive,Poor,Low,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Positive,Poor,Low,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Positive,Poor,Low,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Positive,Poor,Low,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Positive,Good,High,Normal,Neutral,Moderate,Balanced,Occasional,Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Low Balance,None,Very Clear,High
High,Positive,Average,Moderate,Extended,Dissatisfied,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Balanced,Occasional,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Positive,Poor,Low,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,High,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Positive,Poor,Low,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Negative,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Good,Moderate,Extended,Dissatisfied,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Balanced,Occasional,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Positive,Poor,Low,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Positive,Poor,Low,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Negative,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Good,Moderate,Extended,Dissatisfied,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Balanced,Occasional,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Low,Balanced,None,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Good,Moderate,Extended,Dissatisfied,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Positive,Poor,Low,Normal,Neutral,Low,Balanced,Occasional,Clear,Moderate
Low,Negative,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Balanced,Occasional,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Low,Balanced,None,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Balanced,Occasional,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Low,Balanced,None,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Balanced,Occasional,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Low,Balanced,None,Clear,Moderate
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Extended,Neutral,High,Balanced,Frequent,Somewhat Clear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Low,Moderately Balanced,Occasional,Unclear,Low
Low,Positive,Good,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Average,Moderate,Extended,Neutral,High,Low Balance,Frequent,Somewhat Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Low,Balanced,Occasional,Clear,High
Low,Positive,Good,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Average,Moderate,Extended,Neutral,High,Low Balance,Frequent,Somewhat Clear,Low
